,הליכוד,יש עתיד,שס,כחול לבן,ימינה,העבודה,יהדות התורה,ישראל ביתנו,הציונות הדתית,הרשימה המשותפת,תקווה חדשה,מרצ,"רע""מ"
מנות,71126.13333333333,68234.66666666667,63201.6,73064.25,68459.0,67191.75,62097.75,62092.5,75213.66666666667,70861.0,69720.33333333333,67406.0,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,14,8,4,3,3,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,71126.13333333333,68234.66666666667,63201.6,73064.25,68459.0,67191.75,62097.75,62092.5,56410.25,70861.0,69720.33333333333,67406.0,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,14,8,4,4,3,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,71126.13333333333,68234.66666666667,63201.6,58451.4,68459.0,67191.75,62097.75,62092.5,56410.25,70861.0,69720.33333333333,67406.0,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,15,8,4,4,3,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,66680.75,68234.66666666667,63201.6,58451.4,68459.0,67191.75,62097.75,62092.5,56410.25,70861.0,69720.33333333333,67406.0,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,15,8,4,4,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,66680.75,68234.66666666667,63201.6,58451.4,68459.0,67191.75,62097.75,62092.5,56410.25,53145.75,69720.33333333333,67406.0,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,15,8,4,4,3,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,66680.75,68234.66666666667,63201.6,58451.4,68459.0,67191.75,62097.75,62092.5,56410.25,53145.75,52290.25,67406.0,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,15,8,4,4,4,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,66680.75,68234.66666666667,63201.6,58451.4,54767.2,67191.75,62097.75,62092.5,56410.25,53145.75,52290.25,67406.0,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,15,9,4,4,4,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,66680.75,61411.2,63201.6,58451.4,54767.2,67191.75,62097.75,62092.5,56410.25,53145.75,52290.25,67406.0,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,15,9,4,4,4,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,66680.75,61411.2,63201.6,58451.4,54767.2,67191.75,62097.75,62092.5,56410.25,53145.75,52290.25,50554.5,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,15,9,4,4,4,4,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,66680.75,61411.2,63201.6,58451.4,54767.2,53753.4,62097.75,62092.5,56410.25,53145.75,52290.25,50554.5,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,16,9,4,4,4,4,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,62758.35294117647,61411.2,63201.6,58451.4,54767.2,53753.4,62097.75,62092.5,56410.25,53145.75,52290.25,50554.5,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,16,9,5,4,4,4,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,62758.35294117647,61411.2,52668.0,58451.4,54767.2,53753.4,62097.75,62092.5,56410.25,53145.75,52290.25,50554.5,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,17,9,5,4,4,4,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,59271.77777777778,61411.2,52668.0,58451.4,54767.2,53753.4,62097.75,62092.5,56410.25,53145.75,52290.25,50554.5,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,17,9,5,4,4,4,4,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,59271.77777777778,61411.2,52668.0,58451.4,54767.2,53753.4,49678.2,62092.5,56410.25,53145.75,52290.25,50554.5,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,17,9,5,4,4,4,4,4,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,59271.77777777778,61411.2,52668.0,58451.4,54767.2,53753.4,49678.2,49674.0,56410.25,53145.75,52290.25,50554.5,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,17,10,5,4,4,4,4,4,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,59271.77777777778,55828.36363636364,52668.0,58451.4,54767.2,53753.4,49678.2,49674.0,56410.25,53145.75,52290.25,50554.5,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,18,10,5,4,4,4,4,4,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,56152.21052631579,55828.36363636364,52668.0,58451.4,54767.2,53753.4,49678.2,49674.0,56410.25,53145.75,52290.25,50554.5,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,18,10,5,5,4,4,4,4,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,56152.21052631579,55828.36363636364,52668.0,48709.5,54767.2,53753.4,49678.2,49674.0,56410.25,53145.75,52290.25,50554.5,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,18,10,5,5,4,4,4,4,4,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,56152.21052631579,55828.36363636364,52668.0,48709.5,54767.2,53753.4,49678.2,49674.0,45128.2,53145.75,52290.25,50554.5,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,19,10,5,5,4,4,4,4,4,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,53344.6,55828.36363636364,52668.0,48709.5,54767.2,53753.4,49678.2,49674.0,45128.2,53145.75,52290.25,50554.5,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,19,11,5,5,4,4,4,4,4,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,53344.6,51176.0,52668.0,48709.5,54767.2,53753.4,49678.2,49674.0,45128.2,53145.75,52290.25,50554.5,55688.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,19,11,5,5,4,4,4,4,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,53344.6,51176.0,52668.0,48709.5,54767.2,53753.4,49678.2,49674.0,45128.2,53145.75,52290.25,50554.5,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,19,11,5,5,5,4,4,4,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,53344.6,51176.0,52668.0,48709.5,45639.333333333336,53753.4,49678.2,49674.0,45128.2,53145.75,52290.25,50554.5,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,19,11,5,5,5,5,4,4,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,53344.6,51176.0,52668.0,48709.5,45639.333333333336,44794.5,49678.2,49674.0,45128.2,53145.75,52290.25,50554.5,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,20,11,5,5,5,5,4,4,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,50804.380952380954,51176.0,52668.0,48709.5,45639.333333333336,44794.5,49678.2,49674.0,45128.2,53145.75,52290.25,50554.5,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,20,11,5,5,5,5,4,4,4,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,50804.380952380954,51176.0,52668.0,48709.5,45639.333333333336,44794.5,49678.2,49674.0,45128.2,42516.6,52290.25,50554.5,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,20,11,6,5,5,5,4,4,4,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,50804.380952380954,51176.0,45144.0,48709.5,45639.333333333336,44794.5,49678.2,49674.0,45128.2,42516.6,52290.25,50554.5,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,20,11,6,5,5,5,4,4,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,50804.380952380954,51176.0,45144.0,48709.5,45639.333333333336,44794.5,49678.2,49674.0,45128.2,42516.6,41832.2,50554.5,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,20,12,6,5,5,5,4,4,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,50804.380952380954,47239.38461538462,45144.0,48709.5,45639.333333333336,44794.5,49678.2,49674.0,45128.2,42516.6,41832.2,50554.5,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,21,12,6,5,5,5,4,4,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,48495.09090909091,47239.38461538462,45144.0,48709.5,45639.333333333336,44794.5,49678.2,49674.0,45128.2,42516.6,41832.2,50554.5,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,21,12,6,5,5,5,4,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,48495.09090909091,47239.38461538462,45144.0,48709.5,45639.333333333336,44794.5,49678.2,49674.0,45128.2,42516.6,41832.2,40443.6,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,21,12,6,5,5,5,5,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,48495.09090909091,47239.38461538462,45144.0,48709.5,45639.333333333336,44794.5,41398.5,49674.0,45128.2,42516.6,41832.2,40443.6,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,21,12,6,5,5,5,5,5,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,48495.09090909091,47239.38461538462,45144.0,48709.5,45639.333333333336,44794.5,41398.5,41395.0,45128.2,42516.6,41832.2,40443.6,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,21,12,6,6,5,5,5,5,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,48495.09090909091,47239.38461538462,45144.0,41751.0,45639.333333333336,44794.5,41398.5,41395.0,45128.2,42516.6,41832.2,40443.6,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,22,12,6,6,5,5,5,5,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,46386.608695652176,47239.38461538462,45144.0,41751.0,45639.333333333336,44794.5,41398.5,41395.0,45128.2,42516.6,41832.2,40443.6,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,22,13,6,6,5,5,5,5,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,46386.608695652176,43865.142857142855,45144.0,41751.0,45639.333333333336,44794.5,41398.5,41395.0,45128.2,42516.6,41832.2,40443.6,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,23,13,6,6,5,5,5,5,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,44453.833333333336,43865.142857142855,45144.0,41751.0,45639.333333333336,44794.5,41398.5,41395.0,45128.2,42516.6,41832.2,40443.6,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,23,13,6,6,6,5,5,5,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,44453.833333333336,43865.142857142855,45144.0,41751.0,39119.42857142857,44794.5,41398.5,41395.0,45128.2,42516.6,41832.2,40443.6,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,23,13,7,6,6,5,5,5,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,44453.833333333336,43865.142857142855,39501.0,41751.0,39119.42857142857,44794.5,41398.5,41395.0,45128.2,42516.6,41832.2,40443.6,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,23,13,7,6,6,5,5,5,5,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,44453.833333333336,43865.142857142855,39501.0,41751.0,39119.42857142857,44794.5,41398.5,41395.0,37606.833333333336,42516.6,41832.2,40443.6,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,23,13,7,6,6,6,5,5,5,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,44453.833333333336,43865.142857142855,39501.0,41751.0,39119.42857142857,38395.28571428572,41398.5,41395.0,37606.833333333336,42516.6,41832.2,40443.6,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,24,13,7,6,6,6,5,5,5,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,42675.68,43865.142857142855,39501.0,41751.0,39119.42857142857,38395.28571428572,41398.5,41395.0,37606.833333333336,42516.6,41832.2,40443.6,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,24,14,7,6,6,6,5,5,5,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,42675.68,40940.8,39501.0,41751.0,39119.42857142857,38395.28571428572,41398.5,41395.0,37606.833333333336,42516.6,41832.2,40443.6,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,25,14,7,6,6,6,5,5,5,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,41034.307692307695,40940.8,39501.0,41751.0,39119.42857142857,38395.28571428572,41398.5,41395.0,37606.833333333336,42516.6,41832.2,40443.6,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,25,14,7,6,6,6,5,5,5,5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,41034.307692307695,40940.8,39501.0,41751.0,39119.42857142857,38395.28571428572,41398.5,41395.0,37606.833333333336,35430.5,41832.2,40443.6,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,25,14,7,6,6,6,5,5,5,5,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,41034.307692307695,40940.8,39501.0,41751.0,39119.42857142857,38395.28571428572,41398.5,41395.0,37606.833333333336,35430.5,34860.166666666664,40443.6,41766.0,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,25,14,7,6,6,6,5,5,5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,41034.307692307695,40940.8,39501.0,41751.0,39119.42857142857,38395.28571428572,41398.5,41395.0,37606.833333333336,35430.5,34860.166666666664,40443.6,33412.8,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,25,14,7,7,6,6,5,5,5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,41034.307692307695,40940.8,39501.0,36532.125,39119.42857142857,38395.28571428572,41398.5,41395.0,37606.833333333336,35430.5,34860.166666666664,40443.6,33412.8,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,25,14,7,7,6,6,6,5,5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,41034.307692307695,40940.8,39501.0,36532.125,39119.42857142857,38395.28571428572,35484.42857142857,41395.0,37606.833333333336,35430.5,34860.166666666664,40443.6,33412.8,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,25,14,7,7,6,6,6,6,5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,41034.307692307695,40940.8,39501.0,36532.125,39119.42857142857,38395.28571428572,35484.42857142857,35481.42857142857,37606.833333333336,35430.5,34860.166666666664,40443.6,33412.8,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,26,14,7,7,6,6,6,6,5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
מנות,39514.51851851852,40940.8,39501.0,36532.125,39119.42857142857,38395.28571428572,35484.42857142857,35481.42857142857,37606.833333333336,35430.5,34860.166666666664,40443.6,33412.8,34883.0,17346.0,1309.0,1291.0,1189.0,811.0,729.0,663.0,592.0,514.0,486.0,463.0,443.0,441.0,429.0,429.0,408.0,395.0,395.0,385.0,256.0,253.0,226.0,220.0,196.0,0.0
חלוקה,26,15,7,7,6,6,6,6,5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
